arm,codec,budget_scale,mean_bytes,total_bytes,frames,graph_exact,graph_exact_rate,mean_edge_f1,mean_actor_f1,risky_total,risky_preserved,risky_recall,detections,bytes_per_relation
GBSED,scene-graph,1.0,810.9,16218,20,20,1.0,1.0,1.0,44,44,1.0,44,368.6
Image (original),none,inf,1241969.9,24839399,20,20,1.0,1.0,1.0,44,44,1.0,44,564531.8
Image (webp),webp,1,730.2,14604,20,0,0.0,0.4391,0.0,44,0,0.0,22,
Image (webp),webp,2,1455.5,29110,20,0,0.0,0.4807,0.0838,44,6,0.1364,29,4851.7
Image (webp),webp,4,2884.2,57684,20,1,0.05,0.6155,0.3266,44,16,0.3636,36,3605.2
Image (webp),webp,8,6140.0,122800,20,4,0.2,0.7022,0.5107,44,24,0.5455,37,5116.7
Image (webp),webp,16,12237.4,244748,20,6,0.3,0.8398,0.7743,44,34,0.7727,38,7198.5
Image (webp),webp,32,23779.4,475588,20,9,0.45,0.9162,0.8846,44,42,0.9545,35,11323.5
Image (webp),webp,64,40381.8,807636,20,12,0.6,0.9387,0.9164,44,42,0.9545,41,19229.4
Image (webp),webp,128,77808.8,1556176,20,14,0.7,0.9828,0.9738,44,44,1.0,37,35367.6
Image (jpeg),jpeg,1,811.5,16230,20,0,0.0,0.4443,0.0,44,0,0.0,0,
Image (jpeg),jpeg,2,1559.1,31182,20,0,0.0,0.4443,0.0,44,0,0.0,8,
Image (jpeg),jpeg,4,2887.4,57749,20,0,0.0,0.4443,0.0,44,0,0.0,4,
Image (jpeg),jpeg,8,6073.8,121476,20,0,0.0,0.4443,0.0,44,0,0.0,39,
Image (jpeg),jpeg,16,11934.0,238680,20,0,0.0,0.4591,0.025,44,2,0.0455,30,119340.0
Image (jpeg),jpeg,32,23651.3,473026,20,2,0.1,0.6696,0.3894,44,14,0.3182,34,33787.6
Image (jpeg),jpeg,64,46667.8,933356,20,9,0.45,0.9055,0.8595,44,40,0.9091,36,23333.9
Image (jpeg),jpeg,128,88382.8,1767655,20,12,0.6,0.9269,0.9007,44,42,0.9545,36,42087.0
